"Canonical Tag","Canonical Tag"
"General","General"
"Enable","Enable"
"Canonical Tag for Homepage","Canonical Tag for Homepage"
"Use Other URL for Homepage","Use Other URL for Homepage"
"Canonical Tag for Product","Canonical Tag for Product"
"Use Other Url for Canonical Tag", "Use Other Url for Canonical Tag"
"Leave it blank if you want to use the default Canonical Tag", "Leave it blank if you want to use the default Canonical Tag"

"Canonical Tag for Product","Canonical Tag for Product"
"Canonical Tag for Category","Canonical Tag for Category"
"Hold Ctrl when choosing multiple options","Hold Ctrl when choosing multiple options"
"Add Canonical Tag to Layered Navigation", "Add Canonical Tag to Layered Navigation"