Rich Snippets,Rich Snippets
General,General
Enable,Enable
Site Structure,Site Structure
Website Name,Website Name
Twitter Username,Twitter Username
Website Image,Website Image
Website Description,Website Description
Show Search Box in Search Result,Show Search Box in Search Result
Show Breadcrumbs,Show Breadcrumbs
Sitename in Search Result,Sitename In Search Result
Local Business,Local Business
Enable Local Business,Enable Local Business
Business Type,Business Type
Logo,Logo
Name of Business,Name of Business
E-mail,E-mail
Telephone,Telephone
Price Range,Price Range
Locality,Locality
Street Address,Street Address
Country,Country
Post Code,Post Code
Social Profile Links,Social Profile Links
Enter one link per line,Enter one link per line
Product Options,Product Options
Show SKU,Show SKU
Show Name,Show Name
Show Image,Show Image
Show Description,Show Description
Show Review,Show Review
Show Avg. Rating,Show Avg. Rating
Show Price,Show Price
Show Availability,Show Availability
Show Conditions,Show Conditions
Add Category,Add Category
Add Brand,Add Brand
Add Gtin,Add Gtin
Custom Properties,Custom Properties
Category Options,Category Options
Show Description,Show Description
Show Name,Show Name
Show Image,Show Image
Open Graph,Open Graph
Enable for Product Page,Enable for Product Page
Enable for Category Page,Enable for Category Page
Enable for Website,Enable for Website
Twitter Card,Twitter Card
Enable for Product Page,Enable for Product Page
Enable for Category Page,Enable for Category Page
Enable for Website,Enable for Website